,0
GCF_000007545:GEGEGB_00648,611
GCF_000007545:GEGEGB_00649,612
GCF_000007545:GEGEGB_00650,613
GCF_000007545:GEGEGB_00651,614
GCF_000007545:GEGEGB_00652,615
GCF_000007545:GEGEGB_00653,616
GCF_000007545:GEGEGB_00654,617
GCF_000007545:GEGEGB_00655,618
GCF_000007545:GEGEGB_00656,619
GCF_000007545:GEGEGB_00657,620
GCF_000007545:GEGEGB_00658,621
GCF_000007545:GEGEGB_00659,622
GCF_000007545:GEGEGB_00660,623
GCF_000007545:GEGEGB_00661,624
GCF_000007545:GEGEGB_00662,625
GCF_000007545:GEGEGB_00663,626
GCF_000007545:GEGEGB_00664,627
GCF_000007545:GEGEGB_00666,628
GCF_000007545:GEGEGB_00667,629
GCF_000007545:GEGEGB_00669,630
GCF_000007545:GEGEGB_00670,631
GCF_000007545:GEGEGB_00671,632
GCF_000007545:GEGEGB_00672,633
GCF_000007545:GEGEGB_00673,634
GCF_000007545:GEGEGB_00674,635
GCF_000007545:GEGEGB_00675,636
GCF_000007545:GEGEGB_00676,637
GCF_000007545:GEGEGB_00677,638
GCF_000007545:GEGEGB_00678,639
GCF_000007545:GEGEGB_00679,640
GCF_000007545:GEGEGB_00680,641
GCF_000007545:GEGEGB_00681,642
GCF_000007545:GEGEGB_00682,643
GCF_000007545:GEGEGB_00683,644
GCF_000007545:GEGEGB_00684,645
GCF_000007545:GEGEGB_00685,646
GCF_000007545:GEGEGB_00686,647
GCF_000007545:GEGEGB_00687,648
GCF_000007545:GEGEGB_00688,649
GCF_000007545:GEGEGB_00689,650
GCF_000007545:GEGEGB_00690,651
GCF_000007545:GEGEGB_00691,652
GCF_000007545:GEGEGB_00692,653
GCF_000007545:GEGEGB_00693,654
GCF_000007545:GEGEGB_00694,655
GCF_000007545:GEGEGB_00695,656
GCF_000007545:GEGEGB_00696,657
GCF_000007545:GEGEGB_00697,658
GCF_000007545:GEGEGB_00698,659
GCF_000007545:GEGEGB_00699,660
GCF_000007545:GEGEGB_00700,661
GCF_000007545:GEGEGB_00701,662
GCF_000007545:GEGEGB_00702,663
GCF_000007545:GEGEGB_00703,664
GCF_000007545:GEGEGB_00704,665
GCF_000007545:GEGEGB_00705,666
GCF_000007545:GEGEGB_00706,667
GCF_000007545:GEGEGB_00707,668
GCF_000007545:GEGEGB_00708,669
GCF_000007545:GEGEGB_00709,670
GCF_000007545:GEGEGB_00710,671
GCF_000007545:GEGEGB_00711,672
GCF_000007545:GEGEGB_00712,673
GCF_000007545:GEGEGB_00713,674
GCF_000007545:GEGEGB_00714,675
GCF_000007545:GEGEGB_00715,676
GCF_000007545:GEGEGB_00716,677
GCF_000007545:GEGEGB_00717,678
GCF_000007545:GEGEGB_00718,679
GCF_000007545:GEGEGB_00719,680
GCF_000007545:GEGEGB_00720,681
GCF_000007545:GEGEGB_00721,682
GCF_000007545:GEGEGB_00722,683
GCF_000007545:GEGEGB_00723,684
GCF_000007545:GEGEGB_00724,685
GCF_000007545:GEGEGB_00725,686
GCF_000007545:GEGEGB_00726,687
GCF_000007545:GEGEGB_00727,688
GCF_000007545:GEGEGB_00728,689
GCF_000007545:GEGEGB_00729,690
GCF_000007545:GEGEGB_00730,691
GCF_000007545:GEGEGB_00731,692
GCF_000007545:GEGEGB_00732,693
GCF_000007545:GEGEGB_00733,694
GCF_000007545:GEGEGB_00734,695
GCF_000007545:GEGEGB_00735,696
GCF_000007545:GEGEGB_00736,697
GCF_000007545:GEGEGB_00737,698
GCF_000007545:GEGEGB_00738,699
